model,time,delta_time,dataset,encoding,num_slices,num_dimensions,accuracy
DWN,2025-01-27 22:10:42,1.1271,EEG Eye State,Linear,,,0.4723
DWN,2025-01-27 22:10:42,3.3362,EEG Eye State,Distributive,,,0.8461
DWN,2025-01-27 22:10:43,1.1785,EEG Eye State,Linear,,,0.4289
DWN,2025-01-27 22:10:43,1.1226,EEG Eye State,Linear,,,0.4676
DWN,2025-01-27 22:10:43,2.8534,EEG Eye State,Distributive,,,0.8455
DWN,2025-01-27 22:10:44,1.1687,EEG Eye State,Linear,,,0.4643
DWN,2025-01-27 22:10:44,1.1308,EEG Eye State,Linear,,,0.4667
DWN,2025-01-27 22:10:45,1.1121,EEG Eye State,Linear,,,0.4718
DWN,2025-01-27 22:10:45,1.0547,EEG Eye State,Linear,,,0.4555
DWN,2025-01-27 22:10:45,3.3518,EEG Eye State,Distributive,,,0.8582
DWN,2025-01-27 22:10:46,2.7532,EEG Eye State,Gaussian,,,0.6169
DWN,2025-01-27 22:10:46,1.1865,EEG Eye State,Linear,,,0.4671
DWN,2025-01-27 22:10:46,1.1605,EEG Eye State,Linear,,,0.4485
DWN,2025-01-27 22:10:47,1.3359,EEG Eye State,Linear,,,0.462
DWN,2025-01-27 22:10:48,1.345,EEG Eye State,Scatter Code,10.0,50.0,0.3809
DWN,2025-01-27 22:10:49,1.2667,EEG Eye State,Linear,,,0.4662
DWN,2025-01-27 22:10:49,1.2572,EEG Eye State,Scatter Code,10.0,50.0,0.2858
DWN,2025-01-27 22:10:49,3.1886,EEG Eye State,Gaussian,,,0.6226
DWN,2025-01-27 22:10:49,3.8625,EEG Eye State,Distributive,,,0.8305
DWN,2025-01-27 22:10:51,1.7081,EEG Eye State,Scatter Code,10.0,100.0,0.4149
DWN,2025-01-27 22:10:51,1.6149,EEG Eye State,Scatter Code,10.0,50.0,0.3837
DWN,2025-01-27 22:10:52,1.6284,EEG Eye State,Scatter Code,10.0,50.0,0.3566
DWN,2025-01-27 22:10:52,1.7205,EEG Eye State,Scatter Code,10.0,100.0,0.4424
DWN,2025-01-27 22:10:53,3.969,EEG Eye State,Gaussian,,,0.6193
DWN,2025-01-27 22:10:54,1.6292,EEG Eye State,Scatter Code,10.0,50.0,0.4037
DWN,2025-01-27 22:10:54,1.6689,EEG Eye State,Scatter Code,10.0,100.0,0.428
DWN,2025-01-27 22:10:54,4.7159,EEG Eye State,Gaussian,,,0.5603
DWN,2025-01-27 22:10:55,1.6317,EEG Eye State,Scatter Code,10.0,50.0,0.2834
DWN,2025-01-27 22:10:56,1.6868,EEG Eye State,Scatter Code,10.0,100.0,0.2457
DWN,2025-01-27 22:10:57,3.8798,EEG Eye State,Gaussian,,,0.608
DWN,2025-01-27 22:10:57,1.5998,EEG Eye State,Scatter Code,10.0,50.0,0.3138
DWN,2025-01-27 22:10:57,1.6661,EEG Eye State,Scatter Code,10.0,100.0,0.3333
DWN,2025-01-27 22:10:58,4.3267,EEG Eye State,Gaussian,,,0.6226
DWN,2025-01-27 22:10:59,1.5772,EEG Eye State,Scatter Code,10.0,50.0,0.4298
DWN,2025-01-27 22:10:59,1.6529,EEG Eye State,Scatter Code,10.0,100.0,0.4131
DWN,2025-01-27 22:11:00,1.6445,EEG Eye State,Scatter Code,10.0,50.0,0.3487
DWN,2025-01-27 22:11:01,1.7217,EEG Eye State,Scatter Code,10.0,100.0,0.38
DWN,2025-01-27 22:11:01,4.0378,EEG Eye State,Gaussian,,,0.6191
DWN,2025-01-27 22:11:02,1.6521,EEG Eye State,Scatter Code,10.0,50.0,0.4205
DWN,2025-01-27 22:11:02,1.563,EEG Eye State,Scatter Code,10.0,100.0,0.3296
DWN,2025-01-27 22:11:03,4.3211,EEG Eye State,Gaussian,,,0.6317
DWN,2025-01-27 22:11:04,1.4295,EEG Eye State,Scatter Code,10.0,100.0,0.3697
DWN,2025-01-27 22:11:05,3.4934,MAGIC Gamma Telescope,Gaussian,,,0.6329
DWN,2025-01-27 22:11:05,1.519,EEG Eye State,Scatter Code,10.0,100.0,0.4256
DWN,2025-01-27 22:11:06,3.4076,MAGIC Gamma Telescope,Gaussian,,,0.6135
DWN,2025-01-27 22:11:06,3.6032,MAGIC Gamma Telescope,Distributive,,,0.8042
DWN,2025-01-27 22:11:07,2.5915,MAGIC Gamma Telescope,Gaussian,,,0.6383
DWN,2025-01-27 22:11:09,3.0422,MAGIC Gamma Telescope,Distributive,,,0.8063
DWN,2025-01-27 22:11:09,2.9269,MAGIC Gamma Telescope,Distributive,,,0.8171
DWN,2025-01-27 22:11:09,3.1871,MAGIC Gamma Telescope,Gaussian,,,0.6193
