model,time,delta_time,encoding,accuracy
Wisard,2025-01-22 23:38:27,2.7863,Gaussian,0.8176
Wisard,2025-01-22 23:38:28,3.7112,Gaussian,0.8267
Wisard,2025-01-22 23:38:29,4.6303,Gaussian,0.8122
Wisard,2025-01-22 23:38:30,5.5437,Gaussian,0.8184
Wisard,2025-01-22 23:38:31,6.4611,Gaussian,0.8079
Wisard,2025-01-22 23:38:32,7.3871,Gaussian,0.8230
Wisard,2025-01-22 23:38:33,8.3031,Gaussian,0.8146
Wisard,2025-01-22 23:38:34,9.2103,Gaussian,0.8273
Wisard,2025-01-22 23:38:35,0.9368,Linear,0.7919
Wisard,2025-01-22 23:38:36,1.8676,Linear,0.7746
Wisard,2025-01-22 23:38:37,2.8132,Linear,0.7703
Wisard,2025-01-22 23:38:38,3.7683,Linear,0.7883
Wisard,2025-01-22 23:38:39,4.7064,Linear,0.7795
Wisard,2025-01-22 23:38:39,5.6176,Linear,0.8072
Wisard,2025-01-22 23:38:40,6.5375,Linear,0.8058
Wisard,2025-01-22 23:38:41,7.4538,Linear,0.8021
Wisard,2025-01-22 23:38:42,8.3717,Linear,0.8064
Wisard,2025-01-22 23:38:43,9.2915,Linear,0.8136
Wisard,2025-01-22 23:38:44,1.2417,Scatter Code,0.7464
Wisard,2025-01-22 23:38:46,2.4733,Scatter Code,0.7454
Wisard,2025-01-22 23:38:47,3.6942,Scatter Code,0.7336
Wisard,2025-01-22 23:38:48,4.9162,Scatter Code,0.7467
Wisard,2025-01-22 23:38:49,6.1793,Scatter Code,0.7381
Wisard,2025-01-22 23:38:51,7.4387,Scatter Code,0.7513
Wisard,2025-01-22 23:38:52,8.6657,Scatter Code,0.7620
Wisard,2025-01-22 23:38:53,9.8884,Scatter Code,0.6138
Wisard,2025-01-22 23:38:54,11.1185,Scatter Code,0.7502
Wisard,2025-01-22 23:38:55,12.3435,Scatter Code,0.7266
